ward,menu_package,address,cost,cost_numeric
2,Street Speed Hump Menu (2024),ON W CHESTNUT ST FROM N WELLS ST (200 W) TO N FRANKLIN ST (300 W),"$2,440.00",2440.0
2,Street Speed Hump Menu (2024),ON W INSTITUTE PL FROM N WELLS ST (200 W) TO N FRANKLIN ST (300 W),"$2,440.00",2440.0
3,Alley Resurfacing Menu (2024),E 44TH PL & S VINCENNES AVE&E 45TH ST & S ST LAWRENCE AVE,"$57,146.97",57146.97
3,Alley Resurfacing Menu (2024),E 44TH ST & S VINCENNES AVE; 436 E 44TH ST; E 44TH ST & S DR MARTIN LUTHER KING JR DR E,"$50,182.41",50182.41
3,Alley Resurfacing Menu (2024),S CALUMET AVE & E 42ND ST&E 43RD ST & S DR MARTIN LUTHER KING JR DR,"$46,904.63",46904.63
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 21ST ST&E CULLERTON ST & S PRAIRIE AVE,"$17,335.18",17335.18
3,Alley Resurfacing Menu (2024),S INDIANA AVE & E 50TH ST&E 51ST ST & S PRAIRIE AVE,"$31,425.81",31425.81
3,Alley Resurfacing Menu (2024),S MICHIGAN AVE & E 40TH ST&E PERSHING RD & S INDIANA AVE,"$45,297.80",45297.8
3,Alley Resurfacing Menu (2024),S STATE ST & W 43RD ST&E 44TH ST & S WABASH AVE,"$67,066.03",67066.03
3,Alley Resurfacing Menu (2024),S VINCENNES AVE & E 46TH PL&E 47TH ST & S ST LAWRENCE AVE,"$44,617.99",44617.99
3,Alley Speed Hump Menu (2024),E 16TH ST & S MICHIGAN AVE&S INDIANA AVE & E 18TH ST,"$2,175.00",2175.0
3,Alley Speed Hump Replacement (2024),S CALUMET AVE & E 42ND ST&E 43RD ST & S DR MARTIN LUTHER KING JR DR,$0.00,0.0
3,Arterial Street Bump Outs Menu (2024),ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S); S INDIANA AVE & E 14TH ST,"$130,000.00",130000.0
3,Arterial Street Bump Outs Menu (2024),S STATE ST & E 14TH PL,"$28,059.35",28059.35
3,Curb & Gutter Menu (2024),3800-3814 S DR MARTIN LUTHER KING JR DR,"$34,004.20",34004.2
3,Installation of Accessible Pedestrian Signals (APS) at S. Dr.,S DR MARTIN LUTHER KING JR DR & E 41ST ST,"$76,277.00",76277.0
3,Martin Luther King Jr. Dr. & E. 41st ST. Miscellaneous CDOT Projects (2024),5327 S PRAIRIE AVE,$150.00,150.0
3,Pavement Markings Menu (2024),S INDIANA AVE & E 14TH ST; ON S INDIANA AVE FROM E 14TH ST (1400 S) TO E 15TH PL (1527 S),"$4,000.00",4000.0
3,Sidewalk Menu (2024),1310 S WABASH AVE,"$17,451.31",17451.31
3,Sidewalk Menu (2024),3330 S INDIANA AVE,"$8,519.87",8519.87
3,Sidewalk Menu (2024),4938 S DR MARTIN LUTHER KING JR DR,"$3,323.41",3323.41
3,Sidewalk Menu (2024),4948 S INDIANA AVE; 4918 S INDIANA AVE; 4938 S INDIANA AVE,"$15,984.40",15984.4
3,Sidewalk Menu (2024),ON S DR MARTIN LUTHER KING JR DR E FROM E 45TH ST (4500 S) TO E 45TH PL (4530 S),"$40,557.73",40557.73
