ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
2,Street Resurfacing Menu (2023),800-830 W Weed St,27768.94,0.019189,41.909989999565,-87.648316038609,842200,1,170318422001
2,Street Resurfacing Menu (2023),160-200 W Wendell St,25202.11,0.017415,41.901561870194,-87.633875779637,081000,5,170310810005
2,Street Speed Hump Menu (2023),2300-2400 N Lakewood Ave,2440.0,0.001686,41.923696297185,-87.661085616639,832500,2,170318325002
2,Street Speed Hump Menu (2023),2100-2200 N Magnolia Ave,4880.0,0.003372,41.919951011389,-87.659850040292,832500,2,170318325002
2,Street Speed Hump Replacement (2023),1400-1600 N Wieland St,0.0,0.0,41.907704003112,-87.63573496958,080300,3,170310803003
2,Street Speed Hump Replacement (2023),200-400 W Goethe St,0.0,0.0,41.905964967751,-87.631908379324,080202,2,170310802022
2,,W BELDEN AVE & N RACINE AVE,28247.62,0.01952,41.923487001063,-87.658385973265,071000,1,170310710001
3,Alley Resurfacing Menu (2023),E 37TH ST & S INDIANA AVE & S GILES AVE & E 38TH ST,15373.0,0.010249,41.82741500988,-87.621677009213,839600,2,170318396002
3,Alley Resurfacing Menu (2023),E 45TH ST & S ST LAWRENCE AVE & S CHAMPLAIN AVE & E 46TH ST,58492.31,0.038995,41.813108190807,-87.611529961047,836000,3,170318360003
3,Alley Resurfacing Menu (2023),E 47TH ST & S ST LAWRENCE AVE & S FORRESTVILLE AVE & E 48TH ST,40648.44,0.027099,41.809492992149,-87.611443962721,843600,2,170318436002
3,Alley Resurfacing Menu (2023),E 48TH ST & S VINCENNES AVE & E 49TH ST & S FORRESTVILLE AVE,41200.0,0.027467,41.805808097965,-87.612610304548,381200,1,170313812001
3,Alley Resurfacing Menu (2023),S CALUMET AVE & E 40TH ST & E 41ST ST & S DR MARTIN LUTHER KING JR DR W,30746.0,0.020497,41.822037013165,-87.618495993139,380600,1,170313806001
3,Alley Resurfacing Menu (2023),S CALUMET AVE & E 41ST ST & E 42ND ST & S DR MARTIN LUTHER KING JR DR W,30807.8,0.020539,41.820197981699,-87.618433967055,380600,2,170313806002
3,Alley Resurfacing Menu (2023),S INDIANA AVE & E 33RD BLVD & E 35TH ST & S PRAIRIE AVE,59607.06,0.039738,41.834722017792,-87.621831990602,839500,1,170318395001
3,Alley Resurfacing Menu (2023),S MICHIGAN AVE & E 52ND ST & E 53RD ST & S INDIANA AVE,30320.53,0.020214,41.799561316985,-87.622600275847,836100,2,170318361002
3,Alley Resurfacing Menu (2023),S PRAIRIE AVE & E 40TH ST & E PERSHING RD & S CALUMET AVE,66286.55,0.044191,41.823828016326,-87.618192987339,839600,1,170318396001
3,Alley Resurfacing Menu (2023),S STATE ST & E 41ST ST & E 42ND ST & S WABASH AVE,30715.1,0.020477,41.818356016566,-87.624725423579,380600,3,170313806003
3,Alley Resurfacing Menu (2023),S VINCENNES AVE & E 43RD ST & E 44TH ST & S FORRESTVILLE AVE,39426.7,0.026284,41.814907994966,-87.612817589013,836000,2,170318360002
3,Alley Speed Hump Menu (2023),E 48TH PL & S VINCENNES AVE & S DR MARTIN LUTHER KING JR DR & E 48TH ST,3625.0,0.002417,41.806708104818,-87.613860213949,381200,1,170313812001
3,Alley Speed Hump Menu (2023),E PERSHING RD & S DR MARTIN LUTHER KING JR DR & S VINCENNES AVE & E OAKWOOD BLVD,1450.0,0.000967,41.82385098274,-87.616985993281,839600,1,170318396001
3,Alley Speed Hump Replacement (2023),E 48TH ST & S VINCENNES AVE & E 49TH ST & S FORRESTVILLE AVE,0.0,0.0,41.805808097965,-87.612610304548,381200,1,170313812001
3,Alley Speed Hump Replacement (2023),S PRAIRIE AVE & E 40TH ST & E PERSHING RD & S CALUMET AVE,0.0,0.0,41.823828016326,-87.618192987339,839600,1,170318396001
3,Arterial Street Bump Outs Menu (2023),S STATE ST & E 14TH PL,100000.0,0.066667,41.862433008786,-87.627375026991,330200,2,170313302002
