ward,menu_package,address,cost,cost_numeric,cost_share
4,Pavement Markings Menu (2025),3600 S DR MARTIN LUTHER KING JR DR,"$7,000.00",7000.0,0.004667
4,Sidewalk Menu (2025),4832 S DORCHESTER AVE,"$30,000.00",30000.0,0.020000
4,Street Bump Outs Menu (2025),5015 S BLACKSTONE AVE,"$13,598.19",13598.19,0.009065
4,,S BLACKSTONE AVE & E 50TH ST,"$13,598.19",13598.19,0.009065
4,,S BLACKSTONE AVE & E 49TH ST,"$13,598.19",13598.19,0.009065
4,Street Light Pole Painting Menu (2025),3198-3500 S Dr Martin Luther King Jr Dr,"$21,167.59",21167.59,0.014112
4,Street Resurfacing Menu (2025),1300-1200 E 53rd St,"$74,173.21",74173.21,0.049449
4,Street Resurfacing Menu (2025),5100-5200 S Kenwood Ave,"$46,509.29",46509.29,0.031006
4,Street Resurfacing Menu (2025),4100-4140 S St Lawrence Ave,"$19,056.10",19056.1,0.012704
4,Street Resurfacing Menu (2025),4700-5300 S Woodlawn Ave,"$230,775.46",230775.46,0.153850
4,Street Resurfacing Menu (2025),4900-5000 S Woodlawn Ave,"$94,984.25",94984.25,0.063323
4,Street Speed Hump Menu (2025),720-800 E 44th St,"$2,440.00",2440.0,0.001627
4,Street Speed Hump Menu (2025),800-1000 E 45th St,"$7,320.00",7320.0,0.004880
4,Street Speed Hump Menu (2025),1000-1200 E 45th St,"$9,760.00",9760.0,0.006507
4,Street Speed Hump Menu (2025),600-634 E 48th St,"$2,440.00",2440.0,0.001627
4,Street Speed Hump Menu (2025),1300-1400 E 49th St,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4300-4400 S Berkeley Ave,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4900-5200 S Blackstone Ave,"$12,200.00",12200.0,0.008133
4,Street Speed Hump Menu (2025),4700-4799 S Champlain Ave,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4600-4700 S Ellis Ave,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4700-4800 S Greenwood Ave,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4032-4100 S Oakenwald Ave,"$2,440.00",2440.0,0.001627
4,Street Speed Hump Menu (2025),4200-4299 S Vincennes Ave,"$4,880.00",4880.0,0.003253
4,Street Speed Hump Menu (2025),4440-4625 S Woodlawn Ave,"$12,200.00",12200.0,0.008133
5,Alley Resurfacing Menu (2025),E 52ND ST & S INGLESIDE AVE & S ELLIS AVE & E 53RD ST,"$29,013.25",29013.25,0.019372
5,Alley Resurfacing Menu (2025),S BLACKSTONE AVE & E 65TH ST & E 65TH PL & S STONY ISLAND AVE,"$29,911.68",29911.68,0.019972
5,Alley Speed Hump Replacement (2025),E 52ND ST & S INGLESIDE AVE & S ELLIS AVE & E 53RD ST,$0.00,0.0,0.000000
5,Sidewalk Menu (2025),1701 E 56TH ST,"$12,066.27",12066.27,0.008057
5,Sidewalk Menu (2025),2327 E 68TH ST,"$2,868.11",2868.11,0.001915
5,Sidewalk Menu (2025),6744 S PAXTON AVE,"$9,038.59",9038.59,0.006035
5,Street Bump Outs Menu (2025),S CORNELL AVE & E 50TH ST,"$16,127.80",16127.8,0.010768
5,Street Bump Outs Menu (2025),S PAXTON AVE & E 73RD ST,"$29,880.43",29880.43,0.019951
5,Street Resurfacing Menu (2025),930-1000 E 54th St,"$36,477.67",36477.67,0.024356
5,Street Resurfacing Menu (2025),1140-1200 E 54th St,"$42,228.30",42228.3,0.028196
5,Street Resurfacing Menu (2025),1150-1200 E 56th St,"$35,336.90",35336.9,0.023594
5,Street Resurfacing Menu (2025),5400-5500 S Cornell Ave,"$48,766.13",48766.13,0.032561
5,Street Resurfacing Menu (2025),6800-6900 S Crandon Ave,"$61,300.86",61300.86,0.040930
5,Street Resurfacing Menu (2025),7130-7200 S Cyril Ave,"$40,233.73",40233.73,0.026864
5,Street Resurfacing Menu (2025),7100-7300 S Dobson Ave,"$146,468.38",146468.38,0.097796
5,Street Resurfacing Menu (2025),5800-5900 S Dorchester Ave,"$51,173.61",51173.61,0.034168
5,Street Resurfacing Menu (2025),6000-6100 S Dorchester Ave,"$71,012.40",71012.4,0.047415
5,Street Resurfacing Menu (2025),7100-7299 S Ellis Ave,"$127,720.15",127720.15,0.085278
5,Street Resurfacing Menu (2025),6800-6900 S Euclid Ave,"$47,632.67",47632.67,0.031804
5,Street Resurfacing Menu (2025),7100-7300 S Euclid Ave,"$120,843.57",120843.57,0.080687
5,Street Resurfacing Menu (2025),7100-7200 S Greenwood Ave,"$57,561.38",57561.38,0.038433
5,Street Resurfacing Menu (2025),7100-7200 S Ingleside Ave,"$78,959.23",78959.23,0.052721
5,Street Resurfacing Menu (2025),7100-7300 S Luella Ave,"$130,632.65",130632.65,0.087223
5,Street Resurfacing Menu (2025),6000-6100 S University Ave,"$55,665.54",55665.54,0.037168
5,Street Resurfacing Menu (2025),7100-7300 S University Ave,"$155,263.21",155263.21,0.103668
5,Street Resurfacing Menu (2025),7200-7231 S Woodlawn Ave,"$51,748.52",51748.52,0.034552
5,Street Speed Hump Menu (2025),5400-5500 S Dorchester Ave,"$4,880.00",4880.0,0.003258
5,Street Speed Hump Menu (2025),7300-7400 S University Ave,"$4,880.00",4880.0,0.003258
5,Street Speed Hump Replacement (2025),6800-6900 S Crandon Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7300 S Dobson Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7299 S Ellis Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7300 S Euclid Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7200 S Ingleside Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7300 S Luella Ave,$0.00,0.0,0.000000
5,Street Speed Hump Replacement (2025),7100-7300 S University Ave,$0.00,0.0,0.000000
6,Academy Miscellaneous CDOT Projects (2025),401 E 75TH ST,$660.00,660.0,0.000459
6,Floodlight Menu (2025),S VINCENNES AVE & W 70TH ST,"$2,300.00",2300.0,0.001599
6,Floor repairs for Neil Elementary School,8555 S MICHIGAN AVE,"$12,500.00",12500.0,0.008688
6,Improvements to Hamilton Park tech center,513 W 72ND ST,"$50,000.00",50000.0,0.034754
6,Improvements to Tuley Park - outdoor plaza and senior,501 E 90TH PL,"$50,000.00",50000.0,0.034754
6,Improvements to Tuley Park for miniature soccer field,501 E 90TH ST,"$250,000.00",250000.0,0.173768
6,Miscellaneous CDOT Projects (2025),615 W MARQUETTE RD,$660.00,660.0,0.000459
6,New lockers for Lenart School,8101 S LA SALLE ST,"$50,000.00",50000.0,0.034754
6,Pavement Markings Menu (2025),S VINCENNES AVE & W 83RD ST,"$1,600.00",1600.00,0.001112
6,,W 83RD ST & S STEWART AVE,"$1,600.00",1600.00,0.001112
6,Projector screen for Manor Park School,7037 S RHODES AVE,"$30,000.00",30000.0,0.020852
6,seating area Installation of a structure and locker room at Simeon Career,8147 S VINCENNES AVE,"$300,000.00",300000.0,0.208522
6,Street Cul-de-Sac Menu (2025),8100-8500 S Dr Martin Luther King Jr Dr,"$250,000.00",250000.0,0.173768
6,Street Light Pole Painting Menu (2025),6900-7100 S Vincennes Ave,"$12,600.00",12600.0,0.008758
6,Street Speed Hump Menu (2025),400-800 E 74th St,"$19,520.00",19520.0,0.013568
6,Street Speed Hump Menu (2025),0-800 E 77th St,"$34,160.00",34160.0,0.023744
6,Street Speed Hump Menu (2025),0-800 E 80th St,"$8,418.03",8418.03,0.005851
6,Street Speed Hump Menu (2025),410-800 E 80th St,"$9,760.00",9760.0,0.006784
6,Street Speed Hump Menu (2025),0-800 E 82nd St,"$34,160.00",34160.0,0.023744
6,Street Speed Hump Menu (2025),50-100 E 84th St,"$2,440.00",2440.0,0.001696
6,Street Speed Hump Menu (2025),0-400 E 93rd St,"$17,080.00",17080.0,0.011872
6,Street Speed Hump Menu (2025),0-400 E 94th St,"$17,080.00",17080.0,0.011872
6,Street Speed Hump Menu (2025),9100-9500 S Michigan Ave,"$19,520.00",19520.0,0.013568
