ward,menu_package,address,cost,cost_numeric
3,Alley Resurfacing Menu (2025),S MICHIGAN AVE & E 40TH ST&E 41ST ST & S INDIANA AVE,"$32,105.62",32105.62
3,Alley Resurfacing Menu (2025),S PRAIRIE AVE & E PERSHING RD&E 40TH ST & S INDIANA AVE,"$52,768.75",52768.75
3,Alley Speed Hump Menu (2025),S STATE ST & W 43RD ST&E 44TH ST & S WABASH AVE,"$2,175.00",2175.0
3,Alley Speed Hump Replacement (2025),S MICHIGAN AVE & E 21ST ST&E CERMAK RD & S WABASH AVE,$0.00,0.0
3,Alley Speed Hump Replacement (2025),S PRAIRIE AVE & E PERSHING RD&E 40TH ST & S INDIANA AVE,$0.00,0.0
3,Curb & Gutter Menu (2025),10 W 35TH PL,"$5,270.63",5270.63
3,Floodlight Menu (2025),346 W SWANN ST,"$1,150.00",1150.0
3,Miscellaneous CDOT Projects (2025),1920 S PRAIRIE AVE,"$4,600.00",4600.0
3,Miscellaneous CDOT Projects (2025),306 E PERSHING RD,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),3663 S INDIANA AVE,$300.00,300.0
3,Miscellaneous CDOT Projects (2025),3859 S GILES AVE,$660.00,660.0
3,Miscellaneous CDOT Projects (2025),430-432 E 48TH ST,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),4510 S VINCENNES AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),4521-4523 S PRAIRIE AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),4644 S VINCENNES AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),4715 S WABASH AVE; 4736 S WABASH AVE; 4724 S WABASH AVE,$300.00,300.0
3,Miscellaneous CDOT Projects (2025),4757 S PRAIRIE AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),5031 S PRAIRIE AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),5037 S INDIANA AVE,$150.00,150.0
3,Miscellaneous CDOT Projects (2025),5111 S MICHIGAN AVE,$300.00,300.0
3,Miscellaneous CDOT Projects (2025),5121 S WABASH AVE; 5115 S WABASH AVE,$300.00,300.0
3,Miscellaneous CDOT Projects (2025),5217 S CALUMET AVE; 5219 S CALUMET AVE; 5213 S CALUMET AVE,$300.00,300.0
3,Miscellaneous CDOT Projects (2025),601 E 45TH ST,$150.00,150.0
3,Pavement Markings Menu (2025),E PERSHING RD & S RHODES AVE,"$2,500.00",2500.0
3,Sidewalk Menu (2025),2001-2018 S PRAIRIE AVE,"$11,456.16",11456.16
3,Sidewalk Menu (2025),4100-4112 S DR MARTIN LUTHER KING JR DR,"$25,000.00",25000.0
3,Sidewalk Menu (2025),4543 S PRINCETON AVE,"$8,430.67",8430.67
3,Sidewalk Menu (2025),4747 S DR MARTIN LUTHER KING JR DR,"$8,527.72",8527.72
3,Sidewalk Menu (2025),ON W 29TH ST FROM S DEARBORN ST (40 W) TO S FEDERAL ST (60 W),"$45,978.89",45978.89
3,Street Light Residential Staggered Piggy Back Menu (2025),ON E 40TH ST FROM S STATE ST (0 E) TO S PRAIRIE AVE (300 E),"$47,000.00",47000.0
3,Street Resurfacing Menu (2025),ON E 37TH PL FROM S STATE ST (0 E) TO S WABASH AVE (50 E),"$46,065.06",46065.06
3,Street Resurfacing Menu (2025),ON E 42ND PL FROM S DR MARTIN LUTHER KING JR DR E (400 E) TO S VINCENNES AVE (499 E),"$81,125.51",81125.51
3,Street Resurfacing Menu (2025),ON E 44TH ST FROM S INDIANA AVE (200 E) TO S DR MARTIN LUTHER KING JR DR (380 E),"$141,333.18",141333.18
3,Street Resurfacing Menu (2025),ON E 46TH ST FROM S PRAIRIE AVE (300 E) TO S CALUMET AVE (340 E),"$30,893.20",30893.2
3,Street Resurfacing Menu (2025),ON S CALUMET AVE FROM E 38TH ST (3800 S) TO E PERSHING RD (3900 S),"$65,792.97",65792.97
3,Street Resurfacing Menu (2025),ON S CALUMET AVE FROM E PERSHING RD (3900 S) TO E 41ST ST (4100 S),"$139,080.47",139080.47
3,Street Resurfacing Menu (2025),ON S EVANS AVE FROM E 44TH ST (4400 S) TO E 45TH ST (4500 S),"$33,477.48",33477.48
3,Street Resurfacing Menu (2025),ON S FORRESTVILLE AVE FROM E 47TH ST (4700 S) TO E 48TH ST (4800 S),"$79,082.95",79082.95
3,Street Resurfacing Menu (2025),ON S PRAIRIE AVE FROM E 49TH ST (4900 S) TO E 51ST ST (5100 S),"$135,422.52",135422.52
3,Street Resurfacing Menu (2025),ON S WABASH AVE FROM E 44TH ST (4400 S) TO E 46TH ST (4600 S),"$212,839.32",212839.32
3,Street Resurfacing Menu (2025),ON W 24TH ST FROM S STATE ST (0 E) TO S MICHIGAN AVE (100 E),"$87,912.76",87912.76
3,Street Resurfacing Menu (2025),ON W 29TH ST FROM S DEARBORN ST (40 W) TO S FEDERAL ST (60 W),"$27,392.41",27392.41
3,Street Resurfacing Menu (2025),ON W 30TH ST FROM S STATE ST (0 E) TO S FEDERAL ST (100 W),"$85,612.30",85612.3
3,Street Speed Hump Menu (2025),ON S PRAIRIE AVE FROM E 38TH ST (3799 S) TO E PERSHING RD (3900 S),"$4,880.00",4880.0
3,Street Speed Hump Menu (2025),ON W 35TH PL FROM S STATE ST (1 W) TO S FEDERAL ST (99 W),"$4,880.00",4880.0
3,Street Speed Hump Menu (2025),ON W 36TH ST FROM S STATE ST (1 W) TO S FEDERAL ST (99 W),"$4,880.00",4880.0
